"","Location","TimeFrame","DataFormat","Child","Unemployment"
"457","Brazos",2009,"Number",9226,5252
"458","Brazos",2009,"Percent",0.237,0.054
"459","Brazos",2010,"Number",10257,6018
"460","Brazos",2010,"Percent",0.26,0.061
"461","Brazos",2011,"Number",9508,6398
"462","Brazos",2011,"Percent",0.242,0.064
"463","Brewster",2001,"Number",498,125
"464","Brewster",2001,"Percent",0.252,0.022
"465","Brewster",2002,"Number",492,150
"466","Brewster",2002,"Percent",0.246,0.027
"467","Brewster",2003,"Number",503,143
"468","Brewster",2003,"Percent",0.251,0.024
"469","Brewster",2004,"Number",464,227
"470","Brewster",2004,"Percent",0.237,0.042
"471","Brewster",2005,"Number",530,188
"472","Brewster",2005,"Percent",0.275,0.036
"473","Brewster",2006,"Number",482,191
"474","Brewster",2006,"Percent",0.254,0.034
"475","Brewster",2007,"Number",423,172
"476","Brewster",2007,"Percent",0.227,0.032
"477","Brewster",2008,"Number",479,192
"478","Brewster",2008,"Percent",0.249,0.037
"479","Brewster",2009,"Number",392,261
"480","Brewster",2009,"Percent",0.218,0.049
"481","Brewster",2010,"Number",439,294
"482","Brewster",2010,"Percent",0.233,0.055
"483","Brewster",2011,"Number",422,273
"484","Brewster",2011,"Percent",0.235,0.053
"485","Briscoe",2001,"Number",158,22
"486","Briscoe",2001,"Percent",0.333,0.027
"487","Briscoe",2002,"Number",111,28
"488","Briscoe",2002,"Percent",0.24,0.035
"489","Briscoe",2003,"Number",116,34
"490","Briscoe",2003,"Percent",0.246,0.048
"491","Briscoe",2004,"Number",101,46
"492","Briscoe",2004,"Percent",0.235,0.061
"493","Briscoe",2005,"Number",139,41
"494","Briscoe",2005,"Percent",0.327,0.056
"495","Briscoe",2006,"Number",112,35
"496","Briscoe",2006,"Percent",0.273,0.05
"497","Briscoe",2007,"Number",87,31
"498","Briscoe",2007,"Percent",0.257,0.043
"499","Briscoe",2008,"Number",98,31
"500","Briscoe",2008,"Percent",0.297,0.042
"501","Briscoe",2009,"Number",84,40
"502","Briscoe",2009,"Percent",0.249,0.056
