"","Location","TimeFrame","DataFormat","Child","Unemployment"
"374","Blanco",2006,"Percent",0.179,0.04
"375","Blanco",2007,"Number",368,165
"376","Blanco",2007,"Percent",0.17,0.034
"377","Blanco",2008,"Number",371,182
"378","Blanco",2008,"Percent",0.171,0.038
"379","Blanco",2009,"Number",440,262
"380","Blanco",2009,"Percent",0.2,0.051
"381","Blanco",2010,"Number",456,302
"382","Blanco",2010,"Percent",0.2,0.059
"383","Blanco",2011,"Number",471,314
"384","Blanco",2011,"Percent",0.211,0.061
"385","Borden",2000,"Number",25,5
"386","Borden",2000,"Percent",0.15,0.013
"387","Borden",2001,"Number",14,8
"388","Borden",2001,"Percent",0.096,0.02
"389","Borden",2002,"Number",19,8
"390","Borden",2002,"Percent",0.133,0.023
"391","Borden",2003,"Number",11,14
"392","Borden",2003,"Percent",0.082,0.039
"393","Borden",2004,"Number",10,19
"394","Borden",2004,"Percent",0.084,0.037
"395","Borden",2005,"Number",12,18
"396","Borden",2005,"Percent",0.1,0.038
"397","Borden",2006,"Number",12,18
"398","Borden",2006,"Percent",0.108,0.043
"399","Borden",2007,"Number",8,16
"400","Borden",2007,"Percent",0.09,0.045
"401","Borden",2008,"Number",10,13
"402","Borden",2008,"Percent",0.114,0.032
"403","Borden",2009,"Number",18,24
"404","Borden",2009,"Percent",0.15,0.057
"405","Borden",2010,"Number",22,23
"406","Borden",2010,"Percent",0.155,0.05
"407","Borden",2011,"Number",21,21
"408","Borden",2011,"Percent",0.164,0.039
"409","Bosque",2000,"Number",922,242
"410","Bosque",2000,"Percent",0.218,0.036
"411","Bosque",2001,"Number",942,295
"412","Bosque",2001,"Percent",0.223,0.044
"413","Bosque",2002,"Number",899,387
"414","Bosque",2002,"Percent",0.212,0.057
"415","Bosque",2003,"Number",942,426
"416","Bosque",2003,"Percent",0.223,0.061
"417","Bosque",2004,"Number",863,470
"418","Bosque",2004,"Percent",0.206,0.056
"419","Bosque",2005,"Number",974,408
"420","Bosque",2005,"Percent",0.236,0.048
"421","Bosque",2006,"Number",950,415
"422","Bosque",2006,"Percent",0.238,0.05
"423","Bosque",2007,"Number",995,362
"424","Bosque",2007,"Percent",0.248,0.044
"425","Bosque",2008,"Number",831,389
"426","Bosque",2008,"Percent",0.212,0.047
"427","Bosque",2009,"Number",902,680
"428","Bosque",2009,"Percent",0.225,0.079
"429","Bosque",2010,"Number",1129,728
"430","Bosque",2010,"Percent",0.274,0.087
"431","Bosque",2011,"Number",1053,705
"432","Bosque",2011,"Percent",0.261,0.085
"433","Bowie",2000,"Number",5283,1928
"434","Bowie",2000,"Percent",0.241,0.05
"435","Bowie",2001,"Number",5376,1780
"436","Bowie",2001,"Percent",0.246,0.046
"437","Bowie",2002,"Number",5260,2149
"438","Bowie",2002,"Percent",0.24,0.055
"439","Bowie",2003,"Number",5425,2358
"440","Bowie",2003,"Percent",0.249,0.058
"441","Bowie",2004,"Number",5227,2631
"442","Bowie",2004,"Percent",0.24,0.062
