Location,TimeFrame,DataFormat,Data
Walker,2011,Number,68220
Waller,2011,Number,43886
Ward,2011,Number,10804
Washington,2011,Number,33999
Webb,2011,Number,259539
Wharton,2011,Number,41293
Wheeler,2011,Number,5471
Wichita,2011,Number,131595
Wilbarger,2011,Number,13506
Willacy,2011,Number,22191
Williamson,2011,Number,440932
Wilson,2011,Number,44538
Winkler,2011,Number,7139
Wise,2011,Number,60379
Wood,2011,Number,42141
Yoakum,2011,Number,7947
Young,2011,Number,18633
Zapata,2011,Number,14245
Zavala,2011,Number,11794
