Location,TimeFrame,DataFormat,Data
Bell,2000,Number,13069
Bell,2001,Number,13712
Bell,2002,Number,13949
Bell,2003,Number,16503
Bell,2004,Number,14061
Bell,2005,Number,15001
Bell,1989,Percent,0.212
Bell,1993,Percent,0.226
Bell,1995,Percent,0.214
Bell,1997,Percent,0.213
Bell,1998,Percent,0.22
Bell,1999,Percent,0.166
Bell,2000,Percent,0.182
Bell,2001,Percent,0.185
Bell,2002,Percent,0.182
Bell,2003,Percent,0.212
Bell,2004,Percent,0.175
Bell,2005,Percent,0.19
Bell,2006,Number,15314
Bell,2006,Percent,0.194
Bell,2007,Number,16654
Bell,2007,Percent,0.196
Bell,2008,Number,16980
Bell,2008,Percent,0.192
Bell,2009,Number,17337
Bell,2009,Percent,0.207
Bell,2010,Number,17646
Bell,2010,Percent,0.202
Bell,2011,Number,20447
Bell,2011,Percent,0.233
Bexar,1989,Number,96803
Bexar,1993,Number,130000
Bexar,1995,Number,116428
Bexar,1997,Number,106133
Bexar,1998,Number,104230
Bexar,1999,Number,88425
Bexar,2000,Number,90867
Bexar,2001,Number,95798
Bexar,2002,Number,100377
Bexar,2003,Number,105805
Bexar,2004,Number,104297
Bexar,2005,Number,100709
Bexar,1989,Percent,0.283
Bexar,1993,Percent,0.341
Bexar,1995,Percent,0.296
Bexar,1997,Percent,0.264
Bexar,1998,Percent,0.256
Bexar,1999,Percent,0.227
Bexar,2000,Percent,0.227
Bexar,2001,Percent,0.235
Bexar,2002,Percent,0.242
Bexar,2003,Percent,0.253
Bexar,2004,Percent,0.247
Bexar,2005,Percent,0.242
Bexar,2006,Number,103155
Bexar,2006,Percent,0.241
Bexar,2007,Number,102413
Bexar,2007,Percent,0.231
Bexar,2008,Number,106430
Bexar,2008,Percent,0.235
Bexar,2009,Number,114392
Bexar,2009,Percent,0.251
Bexar,2010,Number,113149
Bexar,2010,Percent,0.246
Bexar,2011,Number,119063
Bexar,2011,Percent,0.256
Blanco,1989,Number,321
Blanco,1993,Number,308
Blanco,1995,Number,340
Blanco,1997,Number,244
Blanco,1998,Number,276
Blanco,1999,Number,299
Blanco,2000,Number,347
Blanco,2001,Number,365
Blanco,2002,Number,287
Blanco,2003,Number,319
Blanco,2004,Number,316
Blanco,2005,Number,340
Blanco,1989,Percent,0.219
Blanco,1993,Percent,0.171
Blanco,1995,Percent,0.168
Blanco,1997,Percent,0.127
Blanco,1998,Percent,0.143
Blanco,1999,Percent,0.147
Blanco,2000,Percent,0.165
Blanco,2001,Percent,0.173
Blanco,2002,Percent,0.135
Blanco,2003,Percent,0.146
Blanco,2004,Percent,0.15
Blanco,2005,Percent,0.164
Blanco,2006,Number,386
Blanco,2006,Percent,0.179
Blanco,2007,Number,368
Blanco,2007,Percent,0.17
Blanco,2008,Number,371
Blanco,2008,Percent,0.171
Blanco,2009,Number,440
Blanco,2009,Percent,0.2
Blanco,2010,Number,456
Blanco,2010,Percent,0.2
Blanco,2011,Number,471
Blanco,2011,Percent,0.211
Borden,1989,Number,58
Borden,1993,Number,24
